Thời gian;Người gửi;Nội dung
2025-12-30 23:42:42;Mai Quỳnh Anh;oop
2025-12-30 23:42:46;Mai Quỳnh Anh;học database
2025-12-30 23:42:53;Lê Ngọc Tuyền;:>
2025-12-30 23:42:56;Mai Quỳnh Anh;học đủ thứ
2025-12-30 23:42:56;Lê Ngọc Tuyền;a2 toi đã thấy
2025-12-30 23:42:59;Lê Ngọc Tuyền;Hà Khôi tạo acc
2025-12-30 23:43:00;Lê Ngọc Tuyền;=)))
2025-12-30 23:43:04;Triêm Đoàn;Phải gì nèo
2025-12-30 23:43:05;Mai Quỳnh Anh;học oop mmt thth
2025-12-30 23:43:08;Mai Quỳnh Anh;xstk
2025-12-30 23:43:08;Lê Ngọc Tuyền;:>
2025-12-30 23:43:09;Triêm Đoàn;Phải gánggggg
2025-12-30 23:43:11;Triêm Đoàn;🐋
2025-12-30 23:43:25;Triêm Đoàn;Toi kỉu dị
2025-12-30 23:43:38;Triêm Đoàn;Nổ nẽo cũm đc
2025-12-30 23:43:39;Hà Đăng Khôi;Ể
2025-12-30 23:43:41;Hà Đăng Khôi;=)))))
2025-12-30 23:43:47;Lê Ngọc Tuyền;:>
2025-12-30 23:43:50;Lê Ngọc Tuyền;ê HK
2025-12-30 23:43:58;Lê Ngọc Tuyền;ông soi i có gì khó hiểu dì dì đoá
2025-12-30 23:44:06;Lê Ngọc Tuyền;note lại tui moi tiền của a2
2025-12-30 23:44:11;Lê Ngọc Tuyền;dô cho unopi
2025-12-30 23:44:14;Hà Đăng Khôi;Đang vọc nè :>
2025-12-30 23:44:17;Lê Ngọc Tuyền;=)))
2025-12-30 23:44:21;Mai Quỳnh Anh;=)))))))))))))
2025-12-30 23:44:27;Mai Quỳnh Anh;để gáng
2025-12-30 23:44:29;Mai Quỳnh Anh;học hỏi nx
2025-12-30 23:44:30;Mai Quỳnh Anh;=)))
2025-12-30 23:44:50;Triêm Đoàn;Tester ở đay chứ dou
2025-12-30 23:45:22;Triêm Đoàn;Ụa mà đt sài khum đc hẻ
2025-12-30 23:45:24;Lê Ngọc Tuyền;nếu 1 chỗ được xem là chấp nhận h còn có 2k5 1 chỗ à =)))))))))))))))))
2025-12-30 23:46:12;Mai Quỳnh Anh;quậy banh cái web nè
2025-12-30 23:46:13;Mai Quỳnh Anh;=)))))))))
2025-12-30 23:46:15;Lê Ngọc Tuyền;ổng chưa làm trên đt nhiều á
2025-12-30 23:46:21;Lê Ngọc Tuyền;chủ yếu trên máy á
2025-12-30 23:46:27;Hà Đăng Khôi;nãy tui cũng v nên lên lap r :>
2025-12-30 23:46:35;Lê Ngọc Tuyền;:>>
2025-12-30 23:46:56;Mai Quỳnh Anh;=)))))))
2025-12-30 23:47:00;Mai Quỳnh Anh;đang code oop
2025-12-30 23:47:03;Mai Quỳnh Anh;mà chạy qua thử r
2025-12-30 23:47:04;Mai Quỳnh Anh;=))))
2025-12-30 23:47:07;Lê Ngọc Tuyền;:>>
2025-12-30 23:47:08;Lê Ngọc Tuyền;dui dui
2025-12-30 23:47:10;Mai Quỳnh Anh;ê ý là
2025-12-30 23:47:12;Mai Quỳnh Anh;cái này
2025-12-30 23:47:14;Lê Ngọc Tuyền;ê nhiều ng dô dùng òi nè
2025-12-30 23:47:15;Lê Ngọc Tuyền;:>
2025-12-30 23:47:15;Mai Quỳnh Anh;giao diện đẹp
2025-12-30 23:47:17;Mai Quỳnh Anh;":"">>"
2025-12-30 23:47:31;Lê Ngọc Tuyền;toi khom ngờ a2 toi làm đượt nhzay luon á
2025-12-30 23:47:32;Lê Ngọc Tuyền;:>
2025-12-30 23:47:41;Mai Quỳnh Anh;=))))))))
2025-12-30 23:47:51;Mai Quỳnh Anh;gáng moi
2025-12-30 23:47:55;Mai Quỳnh Anh;để mốt gr mik
2025-12-30 23:47:58;Mai Quỳnh Anh;cx dc như zay
2025-12-30 23:47:59;Mai Quỳnh Anh;=)))
2025-12-30 23:48:26;Lê Ngọc Tuyền;:>>
2025-12-30 23:48:27;Lê Ngọc Tuyền;cố lơn
2025-12-30 23:48:54;Mai Quỳnh Anh;cái này
2025-12-30 23:48:58;Mai Quỳnh Anh;hok làm chế độ
2025-12-30 23:49:01;Mai Quỳnh Anh;light dark mode hả
2025-12-30 23:49:26;Lê Ngọc Tuyền;hong á =))
2025-12-30 23:50:11;Mai Quỳnh Anh;hãy tạo còn ten
2025-12-30 23:50:17;Mai Quỳnh Anh;để anh bả làm típ nèo
2025-12-30 23:50:24;Hà Đăng Khôi;:>
2025-12-30 23:50:26;Mai Quỳnh Anh;gr này giỏi nhất là pressing mà
2025-12-30 23:50:28;Mai Quỳnh Anh;cố lên mn
2025-12-30 23:50:29;Mai Quỳnh Anh;=))))))))))))
2025-12-30 23:50:45;Lê Ngọc Tuyền;:>>
2025-12-30 23:50:54;Lê Ngọc Tuyền;a2 toi đã thấy QA
2025-12-30 23:50:55;Lê Ngọc Tuyền;:>
2025-12-30 23:51:38;Mai Quỳnh Anh;=))))))))))
2025-12-30 23:51:41;Mai Quỳnh Anh;đang phá nè
2025-12-30 23:51:48;Lê Ngọc Tuyền;phá banh nóc i
2025-12-30 23:51:55;Lê Ngọc Tuyền;mốt biet đâu ổng thuê tụi mk dô cái proj này sao
2025-12-30 23:51:58;Lê Ngọc Tuyền;:>
2025-12-30 23:52:13;Mai Quỳnh Anh;=))))))))
2025-12-30 23:52:17;Mai Quỳnh Anh;pj j nx z
2025-12-30 23:52:18;Mai Quỳnh Anh;thấy
2025-12-30 23:52:22;Mai Quỳnh Anh;nó mã hoá mạnh mà
2025-12-30 23:52:50;Lê Ngọc Tuyền;thì tối ưu gì xao :>
2025-12-30 23:52:56;Mai Quỳnh Anh;nó
2025-12-30 23:53:02;Mai Quỳnh Anh;tạo 1 cái code j đó
2025-12-30 23:53:06;Mai Quỳnh Anh;ở trên ảnh của tui nè
2025-12-30 23:53:33;Mai Quỳnh Anh;chất lg thì vẫn ok á
2025-12-30 23:53:34;Mai Quỳnh Anh;":"">>"
2025-12-30 23:54:00;Mai Quỳnh Anh;à
2025-12-30 23:54:01;Mai Quỳnh Anh;là
2025-12-30 23:54:04;Mai Quỳnh Anh;nó sẽ tự
2025-12-30 23:54:11;Mai Quỳnh Anh;add tên của cái file ảnh
2025-12-30 23:54:13;Mai Quỳnh Anh;thì phải
2025-12-30 23:54:23;Lê Ngọc Tuyền;check chất lượng ảnh nữa hả =))
2025-12-30 23:54:32;Mai Quỳnh Anh;check hết mà
2025-12-30 23:54:35;Mai Quỳnh Anh;báo banh page
2025-12-30 23:54:36;Mai Quỳnh Anh;=)))))))
2025-12-30 23:54:43;Lê Ngọc Tuyền;đúm ời =)))
2025-12-30 23:54:47;Lê Ngọc Tuyền;báo banh xác cho tui
2025-12-30 23:54:59;Mai Quỳnh Anh;hình như
2025-12-30 23:55:04;Mai Quỳnh Anh;đây là chuỗi mã hả
2025-12-30 23:55:14;Lê Ngọc Tuyền;hở
2025-12-30 23:55:15;Lê Ngọc Tuyền;là xao á
2025-12-30 23:55:17;Lê Ngọc Tuyền;ae ơi
2025-12-30 23:55:20;Mai Quỳnh Anh;ý là
2025-12-30 23:55:22;Lê Ngọc Tuyền;ai có kinh nghiệm hack
2025-12-30 23:55:24;Lê Ngọc Tuyền;vô hack i
2025-12-30 23:55:26;Mai Quỳnh Anh;lúc vô cái đó
2025-12-30 23:55:27;Lê Ngọc Tuyền;hack đc gì hack
2025-12-30 23:55:33;Mai Quỳnh Anh;xong qlai
2025-12-30 23:55:35;Lê Ngọc Tuyền;a2 tui thách thức á
2025-12-30 23:55:36;Hà Đăng Khôi;:>
2025-12-30 23:55:41;Mai Quỳnh Anh;là nó mất mấy cái tui ấn vô
2025-12-30 23:55:42;Lê Ngọc Tuyền;:>>
2025-12-30 23:55:43;Mai Quỳnh Anh;nó hiện z á
2025-12-30 23:55:44;Hà Đăng Khôi;biết gì đâu
2025-12-30 23:55:45;Lê Ngọc Tuyền;ổng láo quá đi mất
2025-12-30 23:55:48;Mai Quỳnh Anh;=))))))))))))))))
2025-12-30 23:55:49;Mai Quỳnh Anh;má
2025-12-30 23:55:51;Hà Đăng Khôi;:>
2025-12-30 23:56:04;Mai Quỳnh Anh;tr oi tr
2025-12-30 23:56:09;Mai Quỳnh Anh;alo hieupc
2025-12-30 23:56:11;Mai Quỳnh Anh;=)))))))))
2025-12-30 23:56:39;Mai Quỳnh Anh;ê vs
2025-12-30 23:56:43;Mai Quỳnh Anh;nó hỏng cho sửa
2025-12-30 23:56:47;Mai Quỳnh Anh;hay sao á
2025-12-30 23:56:48;Lê Ngọc Tuyền;đúm ời
2025-12-30 23:56:55;Lê Ngọc Tuyền;hả
2025-12-30 23:57:09;Lê Ngọc Tuyền;cái dưới là sau khi hash hay sao á
2025-12-30 23:57:29;Mai Quỳnh Anh;=)))))
2025-12-30 23:57:32;Mai Quỳnh Anh;ý là
2025-12-30 23:57:39;Lê Ngọc Tuyền;ê ko cho sửa ko cho xoá
2025-12-30 23:57:40;Mai Quỳnh Anh;sửa lại ndung á
2025-12-30 23:57:43;Mai Quỳnh Anh;ýe
2025-12-30 23:57:44;Lê Ngọc Tuyền;ổng báo đó là đặc tính gì á
2025-12-30 23:57:48;Lê Ngọc Tuyền;=))
2025-12-30 23:57:52;Mai Quỳnh Anh;=))))))))
2025-12-30 23:57:52;Mai Quỳnh Anh;má
2025-12-30 23:57:54;Lê Ngọc Tuyền;cái ổng làm hướng tới cái đoá
2025-12-30 23:57:55;Lê Ngọc Tuyền;má
2025-12-30 23:58:01;Lê Ngọc Tuyền;là tính năng
2025-12-30 23:58:02;Lê Ngọc Tuyền;ko phải bug
2025-12-30 23:58:03;Mai Quỳnh Anh;đang tính bảo
2025-12-30 23:58:03;Lê Ngọc Tuyền;:>
2025-12-30 23:58:06;Mai Quỳnh Anh;them tính ănng
2025-12-30 23:58:07;Mai Quỳnh Anh;=)))))))))))))
2025-12-30 23:58:10;Lê Ngọc Tuyền;=))))))))))))))
2025-12-30 23:58:18;Triêm Đoàn;Thêm tính năng voice nè
2025-12-30 23:58:21;Mai Quỳnh Anh;ý là
2025-12-30 23:58:23;Triêm Đoàn;";>>>"
2025-12-30 23:58:24;Mai Quỳnh Anh;nãy ấn lộn
2025-12-30 23:58:28;Lê Ngọc Tuyền;=)))
2025-12-30 23:58:31;Mai Quỳnh Anh;nên tính sửa
2025-12-30 23:58:35;Mai Quỳnh Anh;xong nó ko cho sửa
2025-12-30 23:58:36;Mai Quỳnh Anh;=)))))
2025-12-30 23:58:46;Hà Đăng Khôi;=))))
2025-12-30 23:58:51;Hà Đăng Khôi;tính năng tính năng
2025-12-30 23:58:55;Mai Quỳnh Anh;Dừng lại điiii đã bày tỏ cảm xúc 😆 về tin nhắn của bạn 
2025-12-30 23:58:57;Lê Ngọc Tuyền;Lê Ngọc Tuyền đã bày tỏ cảm xúc 😆 về tin nhắn của bạn 
2025-12-30 23:58:59;Hà Đăng Khôi;chúng ta là dân IT
2025-12-30 23:59:00;Hà Đăng Khôi;:>
2025-12-30 23:59:04;Lê Ngọc Tuyền;đúm vạy
2025-12-30 23:59:09;Mai Quỳnh Anh;Dừng lại điiii đã bày tỏ cảm xúc 😆 về tin nhắn của bạn 
2025-12-30 23:59:15;Mai Quỳnh Anh;bao che nhau i
2025-12-30 23:59:16;Mai Quỳnh Anh;=))))
2025-12-30 23:59:18;Lê Ngọc Tuyền;=))
2025-12-30 23:59:19;Hà Đăng Khôi;nó chắc chắn là tính năng
2025-12-30 23:59:20;Hà Đăng Khôi;:>
2025-12-30 23:59:23;Mai Quỳnh Anh;Dừng lại điiii đã bày tỏ cảm xúc 😆 về tin nhắn của bạn 
2025-12-30 23:59:24;Lê Ngọc Tuyền;ae ơi moi ra bug i
2025-12-30 23:59:36;Lê Ngọc Tuyền;sao bữa ổng thách tui là ổng có show mấy con bug ổng chưa sửa
2025-12-30 23:59:39;Lê Ngọc Tuyền;mà giờ ổng sửa ròi
2025-12-30 23:59:40;Lê Ngọc Tuyền;=))
2025-12-30 23:59:48;Lê Ngọc Tuyền;giờ đang sửa cái trên đthoai
2025-12-30 23:59:51;Lê Ngọc Tuyền;là het bug luon ròi
2025-12-30 23:59:52;Lê Ngọc Tuyền;:>
2025-12-31 00:00:11;Mai Quỳnh Anh;=))))))
2025-12-31 00:00:14;Mai Quỳnh Anh;bềnh tễnh
2025-12-31 00:00:17;Mai Quỳnh Anh;cứ tutu
2025-12-31 00:00:27;Lê Ngọc Tuyền;moi đi ae toi cho phép ae đào a2 toi =))
2025-12-31 00:00:28;Mai Quỳnh Anh;gr này pressing là nghề r=))
2025-12-31 00:01:27;Lê Ngọc Tuyền;ê mn
2025-12-31 00:01:33;Lê Ngọc Tuyền;ổng bảo ko giới hạn dung lượng ảnh này kia
2025-12-31 00:01:37;Triêm Đoàn;Hẻ
2025-12-31 00:01:41;Lê Ngọc Tuyền;ai có file ha ảnh gì nặng nặgn
2025-12-31 00:01:44;Lê Ngọc Tuyền;đẩy lên thủ
2025-12-31 00:01:48;Triêm Đoàn;:))))
2025-12-31 00:01:52;Mai Quỳnh Anh;oke
2025-12-31 00:01:53;Mai Quỳnh Anh;=)))
2025-12-31 00:01:54;Lê Ngọc Tuyền;à hong
2025-12-31 00:01:55;Mai Quỳnh Anh;đợi tí nha
2025-12-31 00:01:57;Mai Quỳnh Anh;test
2025-12-31 00:02:20;Lê Ngọc Tuyền;=))
2025-12-31 00:03:49;Lê Ngọc Tuyền;áaaaaaaaaaaaa
2025-12-31 00:03:50;Lê Ngọc Tuyền;ae ơi
2025-12-31 00:03:52;Lê Ngọc Tuyền;aeoiw
2025-12-31 00:03:54;Hà Đăng Khôi;:>
2025-12-31 00:03:56;Lê Ngọc Tuyền;t
2025-12-31 00:03:56;Hà Đăng Khôi;gì vại
2025-12-31 00:04:01;Lê Ngọc Tuyền;mới ra con bug
2025-12-31 00:04:02;Lê Ngọc Tuyền;20k
2025-12-31 00:04:03;Lê Ngọc Tuyền;nhma
2025-12-31 00:04:04;Lê Ngọc Tuyền;mất ròi
2025-12-31 00:04:05;Lê Ngọc Tuyền;má
2025-12-31 00:04:06;Hà Đăng Khôi;=)))))
2025-12-31 00:04:07;Lê Ngọc Tuyền;ổng ra giá rồi
2025-12-31 00:04:08;Lê Ngọc Tuyền;để t tìmlaji
2025-12-31 00:04:10;Lê Ngọc Tuyền;vãi ò
2025-12-31 00:04:13;Lê Ngọc Tuyền;cái gì mà ra cái trang
2025-12-31 00:04:15;Lê Ngọc Tuyền;content
2025-12-31 00:04:17;Lê Ngọc Tuyền;missing á
2025-12-31 00:04:23;Lê Ngọc Tuyền;ae ơi phụ kiếm lại với toi
2025-12-31 00:04:24;Lê Ngọc Tuyền;ae ơi
2025-12-31 00:04:57;Mai Quỳnh Anh;bà ấn sao
2025-12-31 00:04:59;Mai Quỳnh Anh;lói i
2025-12-31 00:05:00;Mai Quỳnh Anh;=)))
2025-12-31 00:05:07;Triêm Đoàn;Test thử khum
2025-12-31 00:05:09;Lê Ngọc Tuyền;ê ý là tui cũng vô tạo bài bth
2025-12-31 00:05:11;Lê Ngọc Tuyền;làm dì dì hoi
2025-12-31 00:05:16;Lê Ngọc Tuyền;xong đang tạo bài
2025-12-31 00:05:17;Lê Ngọc Tuyền;ấn home
2025-12-31 00:05:22;Lê Ngọc Tuyền;hay content gì á
2025-12-31 00:05:25;Lê Ngọc Tuyền;cái nó ra
2025-12-31 00:05:29;Lê Ngọc Tuyền;mà giờ làm lại ko ra nữa
2025-12-31 00:05:32;Lê Ngọc Tuyền;ão thật đấy
2025-12-31 00:05:36;Mai Quỳnh Anh;=))))))
2025-12-31 00:05:37;Mai Quỳnh Anh;ây da
2025-12-31 00:05:39;Mai Quỳnh Anh;từ nha
2025-12-31 00:06:03;Lê Ngọc Tuyền;má
2025-12-31 00:06:06;Lê Ngọc Tuyền;trả 20k đây
2025-12-31 00:06:08;Lê Ngọc Tuyền;=))))))))))))))))))))
2025-12-31 00:06:09;Lê Ngọc Tuyền;trời ơi
2025-12-31 00:06:14;Lê Ngọc Tuyền;ae ơi
2025-12-31 00:06:15;Mai Quỳnh Anh;=))))))))))))))))))
2025-12-31 00:06:20;Lê Ngọc Tuyền;tìm lẹ trước khi a2 toi thấy nó
2025-12-31 00:06:23;Mai Quỳnh Anh;nặng qua
2025-12-31 00:06:24;Lê Ngọc Tuyền;ê rảnh khom
2025-12-31 00:06:26;Mai Quỳnh Anh;nó mã hoá lâu
2025-12-31 00:06:27;Mai Quỳnh Anh;=)))
2025-12-31 00:06:31;Lê Ngọc Tuyền;call săn kho báu
2025-12-31 00:06:32;Lê Ngọc Tuyền;=))
2025-12-31 00:06:37;Mai Quỳnh Anh;=)))))))))))
2025-12-31 00:06:41;Lê Ngọc Tuyền;ổng đang tìm á :>
2025-12-31 00:06:46;Mai Quỳnh Anh;tr má
2025-12-31 00:06:49;Mai Quỳnh Anh;là bà nói chx
2025-12-31 00:06:50;Mai Quỳnh Anh;=)))
2025-12-31 00:06:56;Lê Ngọc Tuyền;nói rồi
2025-12-31 00:07:00;Lê Ngọc Tuyền;tại tui chưa biet nó là bug
2025-12-31 00:07:05;Lê Ngọc Tuyền;tui hỏi trang gì có 1 dòng dẫy
2025-12-31 00:07:07;Lê Ngọc Tuyền;=))))))))))))))))))
2025-12-31 00:07:18;Lê Ngọc Tuyền;xong ổng ra ổng het hồn luôn
2025-12-31 00:07:18;Lê Ngọc Tuyền;>
2025-12-31 00:07:23;Mai Quỳnh Anh;=))))))))))))))))))))))))))))))
2025-12-31 00:07:24;Mai Quỳnh Anh;má
2025-12-31 00:07:27;Mai Quỳnh Anh;tr oi
2025-12-31 00:07:29;Mai Quỳnh Anh;oke
2025-12-31 00:07:33;Mai Quỳnh Anh;xong cái này qua đó tìm
2025-12-31 00:07:35;Mai Quỳnh Anh;ehe
2025-12-31 00:07:46;Lê Ngọc Tuyền;má
2025-12-31 00:07:47;Lê Ngọc Tuyền;sốc quá
2025-12-31 00:07:49;Lê Ngọc Tuyền;sốc quá
2025-12-31 00:07:51;Mai Quỳnh Anh;ê nặng
2025-12-31 00:07:52;Lê Ngọc Tuyền;ủa
2025-12-31 00:07:56;Mai Quỳnh Anh;nó ko load xong dc luôn
2025-12-31 00:07:58;Mai Quỳnh Anh;=)))
2025-12-31 00:08:02;Lê Ngọc Tuyền;ủa
2025-12-31 00:08:05;Lê Ngọc Tuyền;làm xao dị
2025-12-31 00:08:08;Lê Ngọc Tuyền;nó bug hẽ
2025-12-31 00:08:13;Triêm Đoàn;Tui share thử
2025-12-31 00:08:15;Lê Ngọc Tuyền;=))
2025-12-31 00:08:26;Lê Ngọc Tuyền;share memỏy á hả
2025-12-31 00:08:32;Triêm Đoàn;Ýe
2025-12-31 00:08:40;Mai Quỳnh Anh;má cái gr này
2025-12-31 00:08:45;Mai Quỳnh Anh;cho test là trấn động r
2025-12-31 00:08:46;Mai Quỳnh Anh;=)))))))))
2025-12-31 00:08:46;Lê Ngọc Tuyền;là sao á
2025-12-31 00:08:52;Nghĩa Đoàn;seo màu sắc nó bị lệch lệch:>
2025-12-31 00:08:58;Triêm Đoàn;Tui bấm dô share
2025-12-31 00:08:59;Nghĩa Đoàn;cái trên phơi nắng nhiều hơn
2025-12-31 00:09:00;Nghĩa Đoàn;:)))
2025-12-31 00:09:00;Triêm Đoàn;Nó dị á
2025-12-31 00:09:05;Lê Ngọc Tuyền;ê
2025-12-31 00:09:07;Hà Đăng Khôi;=)))))))
2025-12-31 00:09:10;Triêm Đoàn;Hẻ
2025-12-31 00:09:13;Mai Quỳnh Anh;=)))))))))))
2025-12-31 00:09:21;Lê Ngọc Tuyền;Triêm
2025-12-31 00:09:25;Triêm Đoàn;Há
2025-12-31 00:09:26;Lê Ngọc Tuyền;quay video cái đoạn 404 i
2025-12-31 00:09:28;Mai Quỳnh Anh;20k
2025-12-31 00:09:29;Lê Ngọc Tuyền;cho ổng check coi phải bug ko
2025-12-31 00:09:29;Mai Quỳnh Anh;=)))))))))
2025-12-31 00:09:38;Hà Đăng Khôi;ụa t tưởng nó dị :>
2025-12-31 00:09:39;Lê Ngọc Tuyền;Lê Ngọc Tuyền đã bắt đầu cuộc gọi video.
2025-12-31 00:09:40;Lê Ngọc Tuyền;Lê Ngọc Tuyền đã tham gia cuộc gọi video.
2025-12-31 00:09:46;Hà Đăng Khôi;nãy giơf kh để ý
2025-12-31 00:09:47;Nghĩa Đoàn;với được thì tongtai muốn nó được scale nhỏ lại é
2025-12-31 00:09:50;Triêm Đoàn;Tai sao lai anti HK the mn đã tham gia cuộc gọi video.
2025-12-31 00:09:55;Mai Quỳnh Anh;Dừng lại điiii đã tham gia cuộc gọi video.
2025-12-31 00:10:00;Nghĩa Đoàn;tongtai hư tai nghe mấy đứa ơi:))
2025-12-31 00:10:10;Hà Đăng Khôi;Bạn đã tham gia cuộc gọi video.
2025-12-31 00:11:37;Triêm Đoàn;Tai sao lai anti HK the mn đã tham gia cuộc gọi video.
2025-12-31 00:11:57;Mai Quỳnh Anh;=))))))))))))
2025-12-31 00:12:42;Nghĩa Đoàn;NT anti HK đã tham gia cuộc gọi video.
2025-12-31 00:13:26;Mai Quỳnh Anh;nó hong có
2025-12-31 00:13:28;Mai Quỳnh Anh;load dc
2025-12-31 00:13:31;Mai Quỳnh Anh;cái vid của tui
2025-12-31 00:13:33;Mai Quỳnh Anh;=))))))
2025-12-31 00:13:40;Hà Đăng Khôi;nặng quá hả :>
2025-12-31 00:15:44;Nghĩa Đoàn;thank nghía chỉ ghi tiêu đề là : hihihi với nội dung là helo cả nhà
2025-12-31 00:15:45;Nghĩa Đoàn;hết gòi
2025-12-31 00:15:55;Nghĩa Đoàn;xong ấn Save(Public) thì nó dị
2025-12-31 00:16:00;Mai Quỳnh Anh;=))))))))))))
2025-12-31 00:16:29;Nghĩa Đoàn;NT anti HK đã tham gia cuộc gọi video.
2025-12-31 00:17:33;Nghĩa Đoàn;nếu dị thì ổng phải có chức lăng chặn mấy tệp nặng của những user như QA:)))
2025-12-31 00:19:16;Triêm Đoàn;Tai sao lai anti HK the mn đã tham gia cuộc gọi video.
2025-12-31 00:22:05;Mai Quỳnh Anh;=))))))))))))
2025-12-31 00:25:38;Nghĩa Đoàn;cho cái kẻ dòng lên xuống tí i:>>>
2025-12-31 00:25:48;Nghĩa Đoàn;chỗ tiêu đề nó catwstt:)))
2025-12-31 00:26:44;Nghĩa Đoàn;dòng kẻ nó cắt cái chữ é:>
2025-12-31 00:45:11;Mai Quỳnh Anh;https://drive.google.com/file/d/1LU9008sAU4zA41pUNnifEbFkNTvlYrsI/view?usp=sharing
2025-12-31 00:46:06;Mai Quỳnh Anh;Dừng lại điiii đã tham gia cuộc gọi video.
2025-12-31 00:50:17;Hà Đăng Khôi;https://quy.momo.vn/v2/HdhA1dVNyA
2025-12-31 00:50:45;Mai Quỳnh Anh;Dừng lại điiii đã bày tỏ cảm xúc 😆 về tin nhắn của bạn 
2025-12-31 00:52:13;Nghĩa Đoàn;í, hình như ko coi trc đc file .webm
2025-12-31 01:08:47;Lê Ngọc Tuyền;🐋
2025-12-31 01:10:03;Lê Ngọc Tuyền;jhimadan2000@gmail.com
2025-12-31 01:12:06;Lê Ngọc Tuyền;=))
2025-12-31 01:12:21;Hà Đăng Khôi;=)))
2025-12-31 01:13:57;Nghĩa Đoàn;bytrewszxbnk
2025-12-31 01:14:10;Hà Đăng Khôi;:>
2025-12-31 01:14:15;Nghĩa Đoàn;😀😃😄😁😆🥹😅😂🤣🥲☺️😊😇🙂🙃😉
2025-12-31 01:14:17;Lê Ngọc Tuyền;cgi dị
2025-12-31 01:14:18;Lê Ngọc Tuyền;:>
2025-12-31 01:14:33;Nghĩa Đoàn;tongtai đang test:>
2025-12-31 01:14:37;Lê Ngọc Tuyền;ok
2025-12-31 01:14:41;Lê Ngọc Tuyền;5 bug ròi nha ae
2025-12-31 01:14:42;Lê Ngọc Tuyền;:>
2025-12-31 01:14:54;Mai Quỳnh Anh;kfWsGDiCfCfOqYB05uxCLMgFgmeVISVsOmbCrpe/oO5sg5Snhg==
2025-12-31 01:15:01;Mai Quỳnh Anh;LgWlxsQXTdo82JYyaB8VDxGLyVjQXz69eINw3wWyQiT3OQ==
2025-12-31 01:17:58;Mai Quỳnh Anh;https://drive.google.com/file/d/1V5ccFasQCkFk3zUQSu1mexk9gLSkHsNP/view?usp=sharing
2025-12-31 01:23:02;Lê Ngọc Tuyền;HK làm i
2025-12-31 01:23:25;Hà Đăng Khôi;:>
2025-12-31 01:23:45;Lê Ngọc Tuyền;:>
2025-12-31 01:23:46;Lê Ngọc Tuyền;hihi
2025-12-31 01:24:04;Lê Ngọc Tuyền;thứ tự ưu tiên: bug security, bug tính năng, bug ra trang lỗi, cải thiện UX
2025-12-31 01:28:43;Mai Quỳnh Anh;https://drive.google.com/file/d/1WCoTxYMq4bCGBtp7gJ9Qa6oiVAxSmK_1/view?usp=sharing
2025-12-31 01:49:50;Triêm Đoàn;Tui báo qué
2025-12-31 01:52:01;Hà Đăng Khôi;TN ơi tắt vid call đi ngụ :>
2025-12-31 01:54:22;Triêm Đoàn;Mai ai gọi toai dậy vs
2025-12-31 01:54:43;Lê Ngọc Tuyền;bây ơi
2025-12-31 01:54:47;Lê Ngọc Tuyền;ổng tìm ra cái lý do mà
2025-12-31 01:54:50;Lê Ngọc Tuyền;video nhảy loạn xạ ròi
2025-12-31 01:54:53;Lê Ngọc Tuyền;t cừoi chớt
2025-12-31 01:55:00;Hà Đăng Khôi;gì vậy :>
2025-12-31 01:55:06;Lê Ngọc Tuyền;ý là kiểu cái link dẫn tới mấy cái link cá nhân của từng ng á
2025-12-31 01:55:11;Lê Ngọc Tuyền;nchung là nó bị sao í
2025-12-31 01:55:19;Lê Ngọc Tuyền;mà sẽ có avt của ng này nhảy qua ng kia
2025-12-31 01:55:20;Lê Ngọc Tuyền;=))
2025-12-31 01:55:22;Triêm Đoàn;Gửi tục lại cái link đó nhiều lần hả
2025-12-31 01:55:31;Lê Ngọc Tuyền;như kiểu có thể bằng cách nào đó share dữ liệu á =))
2025-12-31 01:55:33;Lê Ngọc Tuyền;to điên =))
2025-12-31 01:55:37;Triêm Đoàn;Goài
2025-12-31 01:55:49;Lê Ngọc Tuyền;tức là có thể 2 ông user thiệt đang có hình ngôi sao của bà QA nãy =)))))
2025-12-31 01:56:17;Lê Ngọc Tuyền;má
2025-12-31 01:56:18;Lê Ngọc Tuyền;QA ơi
2025-12-31 01:56:20;Lê Ngọc Tuyền;lên giá
2025-12-31 01:56:21;Lê Ngọc Tuyền;30k
2025-12-31 01:56:23;Lê Ngọc Tuyền;=))))))))))))))
2025-12-31 01:56:23;Lê Ngọc Tuyền;vãi ò
2025-12-31 01:56:25;Lê Ngọc Tuyền;ngon thé
2025-12-31 01:56:35;Lê Ngọc Tuyền;ổng thấy bug to quá lên giá nè =))
2025-12-31 01:56:40;Hà Đăng Khôi;=))))))))))
2025-12-31 01:56:57;Lê Ngọc Tuyền;oi nhma lsao để lưu giữ lại bằng chứng ta
2025-12-31 01:57:15;Lê Ngọc Tuyền;thoi chắc mốt lướt lên tn của tui với ổng đòi nợ
2025-12-31 02:00:14;Hà Đăng Khôi;ê @Triêm Đoàn
2025-12-31 02:00:23;Hà Đăng Khôi;tìm thấy mấy file mã hóa thiệt nè
2025-12-31 02:00:29;Lê Ngọc Tuyền;hả
2025-12-31 02:00:30;Lê Ngọc Tuyền;=))))))))))))))
2025-12-31 02:00:34;Lê Ngọc Tuyền;thiệt hả
2025-12-31 02:00:41;Hà Đăng Khôi;hong chung chung thui :>
2025-12-31 02:01:51;Hà Đăng Khôi;tại thấy nãy ổng kiếm
